2026.01.12 15:08:31 INFO  Progress (1): 1.3/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.3/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.4/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.5/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.5/1.5 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.5 MB    
2026.01.12 15:08:31 INFO                      
2026.01.12 15:08:31 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/spring-core/6.2.11/spring-core-6.2.11-sources.jar (1.5 MB at 3.1 MB/s)
2026.01.12 15:08:31 INFO  [INFO] SUCCESS: org.springframework:spring-core:jar:6.2.11:compile (sources = true)
2026.01.12 15:08:31 INFO  [INFO] Resolving artifact: org.springframework:spring-context:jar:6.2.11:compile (sources = false)
2026.01.12 15:08:31 INFO  [INFO] SUCCESS: org.springframework:spring-context:jar:6.2.11:compile (sources = false)
2026.01.12 15:08:31 INFO  [INFO] Resolving artifact: org.springframework:spring-context:jar:6.2.11:compile (sources = true)
2026.01.12 15:08:31 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/spring-context/6.2.11/spring-context-6.2.11-sources.jar
2026.01.12 15:08:31 INFO  Progress (1): 0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.1/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.2/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.3/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.4/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.5/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.6/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.7/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.8/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 0.9/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
2026.01.12 15:08:31 INFO  Progress (1): 1.0/1.1 MB
